All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                       Unicycler_longread  Flye    Raven   Canu  
# total reads                  165291              165527  165003  166642
# left                         0                   0       0       0     
# right                        0                   0       0       0     
# mapped                       163236              163492  162955  164627
Mapped (%)                     98.76               98.77   98.76   98.79 
# properly paired              0                   0       0       0     
Properly paired (%)            0.0                 0.0     0.0     0.0   
# singletons                   0                   0       0       0     
Singletons (%)                 0.0                 0.0     0.0     0.0   
# misjoint mates               0                   0       0       0     
Misjoint mates (%)             0.0                 0.0     0.0     0.0   
Avg. coverage depth            308                 309     308     308   
Coverage >= 1x (%)             100.0               100.0   100.0   100.0 
Coverage >= 5x (%)             100.0               100.0   100.0   100.0 
Coverage >= 10x (%)            100.0               100.0   100.0   100.0 
# reference mapped             163597              163597  163597  163597
Reference mapped (%)           98.76               98.76   98.76   98.76 
# reference properly paired    0                   0       0       0     
Reference properly paired (%)  0.0                 0.0     0.0     0.0   
# reference singletons         0                   0       0       0     
Reference singletons (%)       0.0                 0.0     0.0     0.0   
# reference misjoint mates     0                   0       0       0     
Reference misjoint mates (%)   0.0                 0.0     0.0     0.0   
Reference avg. coverage depth  309                 309     309     309   
Reference coverage >= 1x (%)   100.0               100.0   100.0   100.0 
Reference coverage >= 5x (%)   100.0               100.0   100.0   100.0 
Reference coverage >= 10x (%)  100.0               100.0   100.0   100.0 
