All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                       Unicycler_longread  Flye    Raven   Canu  
# total reads                  107924              106321  105849  107378
# left                         0                   0       0       0     
# right                        0                   0       0       0     
# mapped                       107195              105606  105120  106665
Mapped (%)                     99.32               99.33   99.31   99.34 
# properly paired              0                   0       0       0     
Properly paired (%)            0.0                 0.0     0.0     0.0   
# singletons                   0                   0       0       0     
Singletons (%)                 0.0                 0.0     0.0     0.0   
# misjoint mates               0                   0       0       0     
Misjoint mates (%)             0.0                 0.0     0.0     0.0   
Avg. coverage depth            348                 350     350     347   
Coverage >= 1x (%)             100.0               100.0   100.0   100.0 
Coverage >= 5x (%)             100.0               100.0   100.0   100.0 
Coverage >= 10x (%)            100.0               100.0   100.0   100.0 
# reference mapped             114656              114656  114656  114656
Reference mapped (%)           95.78               95.78   95.78   95.78 
# reference properly paired    0                   0       0       0     
Reference properly paired (%)  0.0                 0.0     0.0     0.0   
# reference singletons         0                   0       0       0     
Reference singletons (%)       0.0                 0.0     0.0     0.0   
# reference misjoint mates     0                   0       0       0     
Reference misjoint mates (%)   0.0                 0.0     0.0     0.0   
Reference avg. coverage depth  313                 313     313     313   
Reference coverage >= 1x (%)   91.23               91.23   91.23   91.23 
Reference coverage >= 5x (%)   90.99               90.99   90.99   90.99 
Reference coverage >= 10x (%)  90.88               90.88   90.88   90.88 
