All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                       Unicycler_longread  Flye        Raven       Canu      
# contigs (>= 0 bp)            1                   1           1           1         
# contigs (>= 1000 bp)         1                   1           1           1         
# contigs (>= 5000 bp)         1                   1           1           1         
# contigs (>= 10000 bp)        1                   1           1           1         
# contigs (>= 25000 bp)        1                   1           1           1         
# contigs (>= 50000 bp)        1                   1           1           1         
Total length (>= 0 bp)         5252002             5227573     5242394     5270626   
Total length (>= 1000 bp)      5252002             5227573     5242394     5270626   
Total length (>= 5000 bp)      5252002             5227573     5242394     5270626   
Total length (>= 10000 bp)     5252002             5227573     5242394     5270626   
Total length (>= 25000 bp)     5252002             5227573     5242394     5270626   
Total length (>= 50000 bp)     5252002             5227573     5242394     5270626   
# contigs                      1                   1           1           1         
Largest contig                 5252002             5227573     5242394     5270626   
Total length                   5252002             5227573     5242394     5270626   
Reference length               5231428             5231428     5231428     5231428   
GC (%)                         50.45               50.62       50.48       50.64     
Reference GC (%)               50.48               50.48       50.48       50.48     
N50                            5252002             5227573     5242394     5270626   
NG50                           5252002             5227573     5242394     5270626   
N75                            5252002             5227573     5242394     5270626   
NG75                           5252002             5227573     5242394     5270626   
L50                            1                   1           1           1         
LG50                           1                   1           1           1         
L75                            1                   1           1           1         
LG75                           1                   1           1           1         
# total reads                  165291              165527      165003      166642    
# left                         0                   0           0           0         
# right                        0                   0           0           0         
Mapped (%)                     98.76               98.77       98.76       98.79     
Reference mapped (%)           98.76               98.76       98.76       98.76     
Properly paired (%)            0.0                 0.0         0.0         0.0       
Reference properly paired (%)  0.0                 0.0         0.0         0.0       
Avg. coverage depth            308                 309         308         308       
Reference avg. coverage depth  309                 309         309         309       
Coverage >= 1x (%)             100.0               100.0       100.0       100.0     
Reference coverage >= 1x (%)   100.0               100.0       100.0       100.0     
# misassemblies                4                   3           3           3         
# misassembled contigs         1                   1           1           1         
Misassembled contigs length    5252002             5227573     5242394     5270626   
# local misassemblies          8                   8           8           11        
# scaffold gap ext. mis.       0                   0           0           0         
# scaffold gap loc. mis.       0                   0           0           0         
# unaligned mis. contigs       0                   0           0           0         
# unaligned contigs            0 + 1 part          0 + 1 part  0 + 1 part  0 + 1 part
Unaligned length               2919                2917        2916        3059      
Genome fraction (%)            99.983              99.982      99.981      99.974    
Duplication ratio              1.004               0.999       1.002       1.007     
# N's per 100 kbp              0.00                0.00        0.00        0.00      
# mismatches per 100 kbp       224.54              284.48      213.21      168.71    
# indels per 100 kbp           496.98              223.16      434.42      529.55    
Largest alignment              2735610             2772257     3910968     2486675   
Total aligned length           5247105             5223954     5236592     5266839   
NA50                           2735610             2772257     3910968     1463909   
NGA50                          2735610             2772257     3910968     1463909   
NA75                           1327048             1321379     974703      1315791   
NGA75                          1327048             1321379     974703      1463909   
LA50                           1                   1           1           2         
LGA50                          1                   1           1           2         
LA75                           2                   2           2           3         
LGA75                          2                   2           2           2         
